ID,Team
2166,DAVIDSON
2168,DAYTON
2169,DELAWARE ST
2169,DELAWARE STATE
2172,DENVER
2174,DETROIT
2181,DRAKE
2182,DREXEL
2184,DUQUESNE
2193,EAST TENN ST
2193,EAST TENNESSEE ST
2193,EAST TENNESSEE STATE
2197,E ILLINOIS
2197,EASTERN ILLINOIS
2198,EASTERN KENTUCKY
2198,E KENTUCKY
2199,E MICHIGAN
2199,EASTERN MICHIGAN
2210,ELON
2217,FAIRFIELD
2226,FLORIDA ATL
2226,FLORIDA ATLANTIC
2229,FLORIDA INT'L
2229,FLORIDA INTERNATIONAL
2229,FIU
2230,FORDHAM
2239,CS FULLERTON
2239,CAL ST FULLERTON
2239,CAL STATE FULLERTON
2241,GARDNER-WEBB
2244,GEORGE MASON
2247,GEORGIA ST
2247,GEORGIA STATE
2250,GONZAGA
2253,GRAND CANYON
2261,HAMPTON
2272,HIGH POINT
2275,HOFSTRA
2277,HOUSTON BAPTIST
2287,ILLINOIS ST
2287,ILLINOIS STATE
2294,IOWA
2296,JACKSON ST
2296,JACKSON STATE
2305,KANSAS
2306,KANSAS STATE
2306,KANSAS ST
2309,KENT STATE
2309,KENT ST
2320,LAMAR
2325,LA SALLE
2329,LEHIGH
2335,LIBERTY
2341,LIU BROOKLYN
2344,LONGWOOD
2348,LOUISIANA TECH
2349,UMASS LOWELL
2350,LOYOLA (IL)
2351,LOYOLA MARY
2351,LOYOLA MARYMOUNT
2352,LOYOLA (MD)
2363,MANHATTAN
2368,MARIST
2377,MCNEESE STATE
2377,MCNEESE ST
2378,UMBC
2379,MD-E SHORE
2379,MARYLAND-EASTERN SHORE
2382,MERCER
2390,MIAMI (FL)
2393,MIDDLE TENNESSEE
2400,MISS VALLEY ST
2400,MISSISSIPPI VALLEY STATE
2400,MISSISSIPPI VALLEY ST
2405,MONMOUTH NJ
2405,MONMOUTH
2413,MOREHEAD ST
2413,MOREHEAD STATE
2415,MORGAN ST
2415,MORGAN STATE
2426,NAVY
2427,UNC-ASHEVILLE
2427,UNC ASHEVILLE
2428,NORTH CAROLINA CENTRAL
2428,N CAROLINA CENT
2429,CHARLOTTE
2430,UNC GREENSBORO
2433,LOUISIANA-MONROE
2433,UL MONROE
2437,OMAHA
2437,NEBRASKA-OMAHA
2439,UNLV
2440,NEVADA
2443,NEW ORLEANS
2447,NICHOLLS STATE
2447,NICHOLLS ST
2448,N CAROLINA A&T
2448,NORTH CAROLINA A&T
2449,NORTH DAKOTA ST
2449,NORTH DAKOTA STATE
2450,NORFOLK STATE
2450,NORFOLK ST
2454,NORTH FLORIDA
2458,NORTHERN COLORADO
2458,N COLORADO
2459,N ILLINOIS
2459,NORTHERN ILLINOIS
2460,NORTHERN IOWA
2463,CAL STATE NORTHRIDGE
2463,CS NORTHRIDGE
2463,CAL ST NORTHRIDGE
2464,N ARIZONA
2464,NORTHERN ARIZONA
2466,NORTHWESTERN STATE
2466,NORTHWESTERN ST
2473,OAKLAND
2483,OREGON
2492,PEPPERDINE
2501,PORTLAND
2502,PORTLAND ST
2502,PORTLAND STATE
2504,PRAIRIE VIEW
2504,PRAIRIE VIEW A&M
2504,PV A&M
2506,PRESBYTERIAN
2507,PROVIDENCE
2509,PURDUE
2514,QUINNIPIAC
2515,RADFORD
2520,RIDER
2523,ROBERT MORRIS
2529,SACRED HEART
2534,SAM HOUSTON STATE
2534,SAM HOUSTON
2534,SAM HOUSTON ST
2535,SAMFORD
2539,SAN FRANCISCO
2540,UC SANTA BARBARA
2541,SANTA CLARA
2542,SAVANNAH STATE
2542,SAVANNAH ST
2545,SOUTHEASTERN LOUISIANA
2545,SE LOUISIANA
2546,SOUTHEAST MISSOURI ST
2546,SE MISSOURI ST
2546,SOUTHEAST MISSOURI STATE
2547,SEATTLE
2547,SEATTLE U
2550,SETON HALL
2561,SIENA
2565,SIU-EDWARDSVILLE
2565,SIU EDWARDSVILLE
2567,SMU
2569,SOUTH CAROLINA ST
