ID,Rank,Team,W,L,Pyth,AdjO,AdjD,AdjT,Luck,PP0,PP1,PP2,PP3
46,54,Georgetown,17,14,0.7724,111.4,100.2,64.4,-0.02,0.375964256,0.25425507,0.288814011,0.080966663
2449,55,North Dakota St.,25,6,0.7713,114.7,103.2,64.2,0.071,0.320962889,0.254764293,0.34002006,0.084252758
356,56,Illinois,19,14,0.7685,104,93.7,62.6,0.012,0.437444923,0.203872627,0.263891204,0.094791245
135,57,Minnesota,20,13,0.7666,111.4,100.5,64.7,0.006,0.393233282,0.235785394,0.263931987,0.107049337
8,58,Arkansas,21,11,0.7655,109.3,98.7,72.6,-0.028,0.378925704,0.24953878,0.268734071,0.102801446
2617,59,Stephen F. Austin,31,2,0.7642,111.6,100.8,63.6,0.051,0.352704883,0.246741208,0.292976573,0.107577336
2247,60,Georgia St.,25,8,0.7636,113.9,102.8,65.4,-0.023,0.367703817,0.287797208,0.26873779,0.075761185
2739,61,Green Bay,24,6,0.7607,108.1,97.8,66.7,0.036,0.363396521,0.251123705,0.313660348,0.071819425
269,62,Marquette,17,15,0.7585,109.8,99.4,66.6,-0.051,0.379930036,0.254246976,0.295402062,0.070420925
2572,63,Southern Miss,27,6,0.7536,110.8,100.5,64.6,0.11,0.35035359,0.283351312,0.2843102,0.081984898
38,64,Colorado,23,11,0.7502,105.9,96.2,66.4,0.11,0.378139409,0.275128831,0.269921345,0.076810415
277,65,West Virginia,17,15,0.7476,114.3,104,68.1,-0.06,0.371832232,0.245370948,0.268502035,0.114294785
152,66,North Carolina St.,21,13,0.7462,113.6,103.4,66.1,0.081,0.389723426,0.210146632,0.332022717,0.068107224
2363,67,Manhattan,25,7,0.7433,106,96.7,69.5,-0.003,0.364005119,0.286761675,0.260298041,0.088935164
202,68,Tulsa,21,12,0.743,105.3,96,68.5,-0.025,0.382997371,0.260297984,0.273444347,0.083260298
99,69,LSU,19,13,0.7405,109.1,99.6,70.2,-0.013,0.424055193,0.196930332,0.285134162,0.093880314
261,70,Vermont,22,10,0.7351,109,99.8,64,-0.054,0.354979934,0.273865986,0.279216831,0.091937249
166,71,New Mexico St.,26,9,0.7325,112.1,102.7,66.5,-0.017,0.321143849,0.293479297,0.305337046,0.080039808
2390,72,Miami FL,17,16,0.7325,109,99.8,58.6,-0.045,0.420816797,0.214569197,0.269363718,0.095250288
25,73,California,19,13,0.7319,109.3,100.2,66.3,0.022,0.399868331,0.213441748,0.303530798,0.083159123
84,74,Indiana,17,15,0.729,106.3,97.6,68.8,-0.069,0.384133256,0.261607112,0.274324125,0.079935507
61,75,Georgia,19,13,0.7249,107.9,99.2,64.2,0.037,0.367703817,0.287797208,0.26873779,0.075761185
314,76,Iona,22,10,0.7248,117.5,108,69.8,-0.007,0.373848179,0.224659939,0.256691531,0.144800351
142,77,Missouri,22,11,0.7242,113.4,104.2,66.1,0.067,0.342774646,0.300655392,0.268114946,0.088455016
2428,78,North Carolina Central,28,5,0.7188,107.5,99,64.2,0.037,0.33502421,0.288217662,0.294212589,0.082545538
2608,79,Saint Mary's,22,11,0.7186,110.9,102.2,63.1,0.019,0.352288241,0.277319404,0.25974951,0.110642844
68,80,Boise St.,21,13,0.7177,113.4,104.5,65.3,-0.056,0.36549288,0.241527762,0.2764102,0.116569158
2539,81,San Francisco,21,11,0.7088,111.8,103.5,65.4,0.061,0.371211152,0.2406246,0.285305377,0.102858872
213,82,Penn St.,15,17,0.708,109.2,101.1,66.3,-0.049,0.394150742,0.240386851,0.272934393,0.092528014
2393,83,Middle Tennessee,24,9,0.7053,103.9,96.3,64.2,0.047,0.385872791,0.241541482,0.291310899,0.081274828
2641,84,Texas Tech,14,18,0.698,109.7,102,61.9,-0.054,0.379491889,0.237037037,0.314906642,0.068564432
325,85,Cleveland St.,21,11,0.6975,110.4,102.7,63.7,-0.037,0.380738588,0.231984852,0.275333151,0.111943409
300,86,UC Irvine,23,11,0.6967,102.8,95.6,63.9,-0.018,0.411784174,0.195483579,0.308449259,0.084282988
2550,87,Seton Hall,17,17,0.6951,107.8,100.4,65.9,-0.06,0.400307702,0.24354316,0.246161904,0.109987234
179,88,St. Bonaventure,18,15,0.6936,111.2,103.6,67.4,-0.065,0.374348279,0.245823442,0.311050962,0.068777317
2439,89,UNLV,20,13,0.6795,107.3,100.5,66.8,-0.047,0.401138109,0.22220215,0.288591816,0.088067925
145,90,Mississippi,19,14,0.6776,109.7,102.9,69.7,-0.005,0.430838031,0.224148729,0.277329114,0.067684126
2638,91,UTEP,23,10,0.675,105.5,99,64.7,0.027,0.373183369,0.268832646,0.289971623,0.068012362
257,92,Richmond,19,14,0.6728,103.7,97.4,63.6,0.026,0.429901373,0.224444649,0.249331736,0.096322242
2086,93,Butler,14,17,0.6723,105,98.6,63.5,-0.057,0.417751944,0.211904937,0.280577833,0.089765286
2460,94,Northern Iowa,16,15,0.6718,112.1,105.3,65.9,-0.08,0.402288797,0.227421824,0.242000146,0.128289234
264,95,Washington,17,15,0.6664,110.7,104.2,68.5,0.036,0.384302424,0.238232469,0.292931005,0.084534102
163,96,Princeton,20,8,0.6653,106.5,100.3,64.8,-0.003,0.410881494,0.227130026,0.217848271,0.144140209
333,97,Alabama,13,19,0.6613,106.1,100.1,63.5,-0.092,0.400695021,0.24289648,0.268388586,0.088019913
44,98,American,20,12,0.6608,103.1,97.3,61.4,-0.032,0.4342711,0.188746803,0.27314578,0.103836317
2382,99,Mercer,26,8,0.6579,107.5,101.6,65,0.007,0.362701972,0.236894621,0.28152694,0.118876467
2084,100,Buffalo,19,10,0.6576,110.1,104,68.1,-0.033,0.381453787,0.247723689,0.275700697,0.095121827
87,101,Notre Dame,15,17,0.6508,112.1,106.2,64.1,-0.063,0.40908602,0.189800041,0.29211039,0.10900355
2509,102,Purdue,15,17,0.6474,106.7,101.2,68.9,-0.039,0.408687435,0.221404705,0.290706178,0.079201683
204,103,Oregon St.,16,15,0.6472,111.5,105.8,66.8,0.016,0.383070474,0.241678779,0.283960553,0.091290195
282,104,Indiana St.,23,10,0.6396,105.5,100.3,66.6,0.08,0.38548893,0.252764613,0.264212286,0.097534171
48,105,Delaware,25,9,0.6366,110.9,105.6,72.1,0.059,0.362470838,0.259305903,0.277473832,0.100749427
227,106,Rhode Island,14,18,0.6345,103.8,98.9,66.2,-0.068,0.417442142,0.23477589,0.277672075,0.070109893
2325,107,La Salle,15,16,0.633,105.1,100.2,64.6,0.001,0.415153504,0.23481368,0.263983082,0.086049734
2649,108,Toledo,27,6,0.6322,114.6,109.3,68.4,0.123,0.323871931,0.278354023,0.314794692,0.082979354
2057,109,Belmont,24,9,0.6299,112.1,107.1,68.9,0.07,0.36863677,0.236761211,0.26684689,0.127755129
2099,110,Canisius,21,12,0.6219,111.6,106.9,66.8,0.029,0.374444408,0.241003523,0.27041561,0.114136459
59,111,Georgia Tech,16,17,0.6194,104,99.7,65.7,-0.002,0.434049009,0.199990805,0.286423613,0.079536573
2501,112,Portland,15,16,0.6186,108.1,103.6,66.6,-0.109,0.379924712,0.241296266,0.289461993,0.089317029
2711,113,Western Michigan,23,9,0.6183,106.7,102.3,66.9,0.086,0.369494027,0.279046169,0.263364236,0.088095568
2540,114,UC Santa Barbara,21,9,0.6112,108.8,104.6,63.6,0.056,0.375481378,0.242810334,0.272052008,0.10965628
309,115,Louisiana Lafayette,23,11,0.6106,109.9,105.7,69.9,0.046,0.416884685,0.203763333,0.268665728,0.110686255
154,116,Wake Forest,17,16,0.6074,105.8,101.8,68.1,0.058,0.394000606,0.254070857,0.277413056,0.074515481
2751,117,Wyoming,18,14,0.6047,104.8,101,60.9,-0.059,0.395206773,0.24485761,0.266656528,0.09327909
2166,118,Davidson,20,12,0.5997,113,109.1,67.3,-0.001,0.374646485,0.232584448,0.273309351,0.119459716
195,119,Ohio,23,11,0.5974,107.3,103.7,65.5,0.031,0.423544417,0.200582124,0.265553291,0.110320168
238,120,Vanderbilt,15,16,0.5965,102.6,99.1,63.3,0.018,0.44443069,0.214404199,0.246589587,0.094575524
2579,121,South Carolina,14,20,0.5948,105.9,102.4,66.7,-0.052,0.400173831,0.26316658,0.250844399,0.085815189
2199,122,Eastern Michigan,21,14,0.5945,97.5,94.3,64.6,0.01,0.421653438,0.245696959,0.255952912,0.076696691
