TeamName,Tempo,RankTempo,AdjTempo,RankAdjTempo,OE,RankOE,AdjOE,RankAdjOE,DE,RankDE,AdjDE,RankAdjDE,Pythag,RankPythag
Kansas,69.9189,68,68.3847,119,116.1563,4,118.8778,1,91.0977,9,88.795,5,0.966278,1
Duke,67.6228,158,66.6843,198,114.7741,6,116.9563,6,91.28,10,89.2061,6,0.957498,2
Syracuse,71.3215,30,70.7441,37,114.266,7,115.7085,10,94.1878,40,91.8891,22,0.934051,3
Ohio St.,64.7507,281,65.8241,236,113.6388,9,116.1582,8,94.1432,39,92.6564,29,0.930838,4
West Virginia,63.9891,298,63.413,312,111.9112,17,115.8246,9,97.7246,98,92.8376,31,0.927175,5
Kentucky,70.2518,57,69.4026,71,111.7162,19,111.7599,26,92.0294,21,89.6768,9,0.926329,6
Kansas St.,72.0244,24,71.048,31,109.5895,33,113.9432,17,95.6136,50,91.5124,19,0.925607,7
Wisconsin,60.0458,341,60.2109,340,111.4756,21,113.3768,19,92.8539,28,91.377,16,0.922786,8
Georgetown,66.5913,214,66.5662,207,109.9958,31,115.2194,12,97.7879,100,93.5121,37,0.916872,9
BYU,71.4489,29,72.8186,12,115.5477,5,115.5427,11,91.6595,12,93.9176,44,0.915526,10
Baylor,67.519,164,65.8184,237,112.7598,12,117.53,4,98.0898,106,95.608,60,0.914825,11
Temple,62.0571,329,61.2041,336,104.0827,112,105.8365,92,89.3644,4,86.5396,2,0.910101,12
Maryland,70.3271,53,70.1729,51,111.324,23,116.2984,7,95.8087,53,95.6735,61,0.904218,13
Villanova,72.5328,20,72.8656,11,113.4836,10,116.9981,5,100.265,149,96.3553,67,0.903115,14
Purdue,66.7383,203,67.1506,180,106.5055,80,107.2779,71,91.454,11,88.7593,4,0.898364,15
Butler,64.5273,287,65.1617,269,108.4929,47,108.1695,55,92.5372,24,89.6286,8,0.896812,16
Texas A&M,66.4943,222,65.6275,246,107.133,64,109.9856,43,97.1052,84,91.8015,21,0.888775,17
Utah St.,62.6665,322,61.5347,332,117.1305,1,113.6422,18,95.6655,51,95.4057,58,0.882003,18
California,68.5621,116,68.4611,113,114.0441,8,117.8527,3,99.398,132,99.0621,122,0.880526,19
Xavier,70.5196,46,70.7366,38,110.8022,26,114.0637,15,95.688,52,95.8879,64,0.88039,20
Northern Iowa,59.0766,345,59.9,342,107.2686,60,106.1109,86,91.6915,15,89.2475,7,0.879777,21
Michigan St.,66.673,209,67.1159,182,108.3923,49,109.2147,47,95.4326,45,91.952,23,0.878527,22
