year,k,Accuracy_Ck,Accuracy_NCk,Accuracy_CR,Accuracy_NCR,Delta_Ck,Delta_NCk
12,3,33.0,36.0,42.0,41.0,-9.0,-5.0
12,4,34.0,35.0,42.0,41.0,-8.0,-6.0
12,5,31.0,31.0,42.0,41.0,-11.0,-10.0
12,6,35.0,35.0,42.0,41.0,-7.0,-6.0
12,7,37.0,38.0,42.0,41.0,-5.0,-3.0
12,8,41.0,39.0,42.0,41.0,-1.0,-2.0
12,9,42.0,41.0,42.0,41.0,0.0,0.0
12,10,41.0,39.0,42.0,41.0,-1.0,-2.0
12,11,41.0,39.0,42.0,41.0,-1.0,-2.0
12,12,42.0,40.0,42.0,41.0,0.0,-1.0
12,13,42.0,41.0,42.0,41.0,0.0,0.0
12,14,40.0,37.0,42.0,41.0,-2.0,-4.0
12,15,39.0,39.0,42.0,41.0,-3.0,-2.0
12,16,37.0,38.0,42.0,41.0,-5.0,-3.0
12,17,37.0,37.0,42.0,41.0,-5.0,-4.0
12,18,36.0,37.0,42.0,41.0,-6.0,-4.0
12,19,36.0,35.0,42.0,41.0,-6.0,-6.0
12,20,35.0,36.0,42.0,41.0,-7.0,-5.0
12,21,35.0,35.0,42.0,41.0,-7.0,-6.0
12,22,36.0,37.0,42.0,41.0,-6.0,-4.0
12,23,36.0,37.0,42.0,41.0,-6.0,-4.0
12,24,36.0,37.0,42.0,41.0,-6.0,-4.0
12,25,36.0,36.0,42.0,41.0,-6.0,-5.0
12,26,36.0,36.0,42.0,41.0,-6.0,-5.0
12,27,36.0,36.0,42.0,41.0,-6.0,-5.0
12,28,37.0,37.0,42.0,41.0,-5.0,-4.0
