year,k,A,Actual,Pred_Ck,Pred_NCk,Pred_CR,Pred_NCR
05,3,Illinois,5,6,6,6,6
05,3,Fairleigh Dickinson,0,0,0,0,0
05,3,Texas,0,0,0,1,1
05,3,Nevada,1,1,1,0,0
05,3,Alabama,0,1,1,2,2
05,3,Milwaukee,2,0,0,0,0
05,3,Boston College,1,2,2,1,1
05,3,Penn,0,0,0,0,0
05,3,LSU,0,1,1,1,1
05,3,UAB,1,0,0,0,0
05,3,Arizona,3,2,3,2,2
05,3,Utah St.,0,0,0,0,0
05,3,Southern Illinois,1,3,2,1,1
05,3,Saint Mary's,0,0,0,0,0
05,3,Oklahoma St.,2,1,1,3,3
05,3,Southeastern Louisiana,0,0,0,0,0
05,3,Washington,2,3,1,3,2
05,3,Montana,0,0,0,0,0
05,3,Pacific,1,1,3,0,0
05,3,Pittsburgh,0,0,0,1,1
05,3,Georgia Tech,1,1,1,1,1
05,3,George Washington,0,0,0,0,0
05,3,Louisville,4,2,2,2,3
05,3,Louisiana Lafayette,0,0,0,0,0
05,3,Texas Tech,2,1,1,1,1
05,3,UCLA,0,0,0,0,0
05,3,Gonzaga,1,2,2,2,2
05,3,Winthrop,0,0,0,0,0
05,3,West Virginia,3,1,1,1,1
05,3,Creighton,0,0,0,0,0
05,3,Wake Forest,1,4,4,4,4
05,3,Chattanooga,0,0,0,0,0
05,3,Duke,2,5,1,4,4
05,3,Delaware St.,0,0,0,0,0
05,3,Stanford,0,0,0,0,0
05,3,Mississippi St.,1,1,2,1,1
05,3,Michigan St.,4,1,4,2,2
05,3,Old Dominion,0,0,0,0,0
05,3,Syracuse,0,2,1,1,1
05,3,Vermont,1,0,0,0,0
05,3,Utah,2,1,1,1,1
05,3,UTEP,0,0,0,0,0
05,3,Oklahoma,1,2,3,2,2
05,3,Niagara,0,0,0,0,0
05,3,Cincinnati,1,1,1,1,1
05,3,Iowa,0,0,0,0,0
05,3,Kentucky,3,3,2,3,3
05,3,Eastern Kentucky,0,0,0,0,0
05,3,North Carolina,6,4,5,5,5
05,3,Oakland,0,0,0,0,0
05,3,Minnesota,0,0,0,1,1
05,3,Iowa St.,1,1,1,0,0
05,3,Villanova,2,1,2,1,1
05,3,New Mexico,0,0,0,0,0
05,3,Florida,1,0,0,2,2
05,3,Ohio,0,2,1,0,0
05,3,Wisconsin,3,1,1,1,1
05,3,Northern Iowa,0,0,0,0,0
05,3,Kansas,0,3,3,2,2
05,3,Bucknell,1,0,0,0,0
05,3,Charlotte,0,0,0,0,0
05,3,North Carolina St.,2,2,2,1,1
05,3,Connecticut,1,0,0,3,3
05,3,UCF,0,1,1,0,0
05,4,Illinois,5,6,6,6,6
05,4,Fairleigh Dickinson,0,0,0,0,0
05,4,Texas,0,1,1,1,1
05,4,Nevada,1,0,0,0,0
05,4,Alabama,0,1,1,2,2
05,4,Milwaukee,2,0,0,0,0
05,4,Boston College,1,2,2,1,1
05,4,Penn,0,0,0,0,0
05,4,LSU,0,1,1,1,1
05,4,UAB,1,0,0,0,0
05,4,Arizona,3,0,0,2,2
05,4,Utah St.,0,2,2,0,0
05,4,Southern Illinois,1,3,3,1,1
05,4,Saint Mary's,0,0,0,0,0
05,4,Oklahoma St.,2,1,1,3,3
05,4,Southeastern Louisiana,0,0,0,0,0
05,4,Washington,2,2,3,3,2
05,4,Montana,0,0,0,0,0
05,4,Pacific,1,1,1,0,0
05,4,Pittsburgh,0,0,0,1,1
05,4,Georgia Tech,1,1,1,1,1
05,4,George Washington,0,0,0,0,0
05,4,Louisville,4,3,2,2,3
