year,k,Accuracy_Ck,Accuracy_NCk,Accuracy_CR,Accuracy_NCR,Delta_Ck,Delta_NCk
05,3,40.0,43.0,41.0,42.0,-1.0,1.0
05,4,38.0,34.0,41.0,42.0,-3.0,-8.0
05,5,37.0,36.0,41.0,42.0,-4.0,-6.0
05,6,37.0,34.0,41.0,42.0,-4.0,-8.0
05,7,33.0,34.0,41.0,42.0,-8.0,-8.0
05,8,34.0,34.0,41.0,42.0,-7.0,-8.0
05,9,40.0,40.0,41.0,42.0,-1.0,-2.0
05,10,38.0,39.0,41.0,42.0,-3.0,-3.0
05,11,37.0,36.0,41.0,42.0,-4.0,-6.0
05,12,37.0,37.0,41.0,42.0,-4.0,-5.0
05,13,37.0,38.0,41.0,42.0,-4.0,-4.0
05,14,39.0,40.0,41.0,42.0,-2.0,-2.0
05,15,39.0,38.0,41.0,42.0,-2.0,-4.0
05,16,37.0,36.0,41.0,42.0,-4.0,-6.0
05,17,40.0,38.0,41.0,42.0,-1.0,-4.0
05,18,38.0,37.0,41.0,42.0,-3.0,-5.0
05,19,42.0,41.0,41.0,42.0,1.0,-1.0
05,20,41.0,41.0,41.0,42.0,0.0,-1.0
05,21,41.0,42.0,41.0,42.0,0.0,0.0
05,22,40.0,39.0,41.0,42.0,-1.0,-3.0
05,23,41.0,41.0,41.0,42.0,0.0,-1.0
05,24,41.0,41.0,41.0,42.0,0.0,-1.0
05,25,41.0,41.0,41.0,42.0,0.0,-1.0
05,26,41.0,41.0,41.0,42.0,0.0,-1.0
05,27,41.0,41.0,41.0,42.0,0.0,-1.0
