year,k,Accuracy_Ck,Accuracy_NCk,Accuracy_CR,Accuracy_NCR,Delta_Ck,Delta_NCk
03,3,34.0,34.0,41.0,40.0,-7.0,-6.0
03,4,32.0,33.0,41.0,40.0,-9.0,-7.0
03,5,36.0,36.0,41.0,40.0,-5.0,-4.0
03,6,39.0,39.0,41.0,40.0,-2.0,-1.0
03,7,36.0,34.0,41.0,40.0,-5.0,-6.0
03,8,35.0,35.0,41.0,40.0,-6.0,-5.0
03,9,35.0,35.0,41.0,40.0,-6.0,-5.0
03,10,34.0,33.0,41.0,40.0,-7.0,-7.0
03,11,36.0,33.0,41.0,40.0,-5.0,-7.0
03,12,35.0,34.0,41.0,40.0,-6.0,-6.0
03,13,33.0,30.0,41.0,40.0,-8.0,-10.0
03,14,34.0,34.0,41.0,40.0,-7.0,-6.0
03,15,34.0,37.0,41.0,40.0,-7.0,-3.0
03,16,35.0,36.0,41.0,40.0,-6.0,-4.0
03,17,35.0,36.0,41.0,40.0,-6.0,-4.0
03,18,34.0,35.0,41.0,40.0,-7.0,-5.0
03,19,35.0,36.0,41.0,40.0,-6.0,-4.0
03,20,35.0,36.0,41.0,40.0,-6.0,-4.0
03,21,37.0,38.0,41.0,40.0,-4.0,-2.0
03,22,36.0,37.0,41.0,40.0,-5.0,-3.0
03,23,36.0,37.0,41.0,40.0,-5.0,-3.0
03,24,35.0,36.0,41.0,40.0,-6.0,-4.0
03,25,36.0,38.0,41.0,40.0,-5.0,-2.0
