year,k,Accuracy_Ck,Accuracy_NCk,Accuracy_CR,Accuracy_NCR,Delta_Ck,Delta_NCk
06,3,36.0,34.0,39.0,38.0,-3.0,-4.0
06,4,40.0,41.0,39.0,38.0,1.0,3.0
06,5,39.0,40.0,39.0,38.0,0.0,2.0
06,6,37.0,37.0,39.0,38.0,-2.0,-1.0
06,7,38.0,38.0,39.0,38.0,-1.0,0.0
06,8,36.0,36.0,39.0,38.0,-3.0,-2.0
06,9,39.0,40.0,39.0,38.0,0.0,2.0
06,10,36.0,35.0,39.0,38.0,-3.0,-3.0
06,11,37.0,38.0,39.0,38.0,-2.0,0.0
06,12,35.0,36.0,39.0,38.0,-4.0,-2.0
06,13,36.0,37.0,39.0,38.0,-3.0,-1.0
06,14,37.0,38.0,39.0,38.0,-2.0,0.0
06,15,34.0,36.0,39.0,38.0,-5.0,-2.0
06,16,37.0,36.0,39.0,38.0,-2.0,-2.0
06,17,36.0,34.0,39.0,38.0,-3.0,-4.0
06,18,38.0,36.0,39.0,38.0,-1.0,-2.0
06,19,38.0,36.0,39.0,38.0,-1.0,-2.0
06,20,37.0,36.0,39.0,38.0,-2.0,-2.0
06,21,35.0,35.0,39.0,38.0,-4.0,-3.0
06,22,36.0,35.0,39.0,38.0,-3.0,-3.0
06,23,36.0,35.0,39.0,38.0,-3.0,-3.0
06,24,36.0,35.0,39.0,38.0,-3.0,-3.0
06,25,36.0,35.0,39.0,38.0,-3.0,-3.0
06,26,36.0,35.0,39.0,38.0,-3.0,-3.0
