year,k,Accuracy_Ck,Accuracy_NCk,Accuracy_CR,Accuracy_NCR,Delta_Ck,Delta_NCk
14,3,33.0,33.0,38.0,38.0,-5.0,-5.0
14,4,38.0,37.0,38.0,38.0,0.0,-1.0
14,5,40.0,39.0,38.0,38.0,2.0,1.0
14,6,41.0,41.0,38.0,38.0,3.0,3.0
14,7,39.0,38.0,38.0,38.0,1.0,0.0
14,8,40.0,39.0,38.0,38.0,2.0,1.0
14,9,38.0,40.0,38.0,38.0,0.0,2.0
14,10,40.0,41.0,38.0,38.0,2.0,3.0
14,11,40.0,40.0,38.0,38.0,2.0,2.0
14,12,40.0,40.0,38.0,38.0,2.0,2.0
14,13,39.0,39.0,38.0,38.0,1.0,1.0
14,14,41.0,42.0,38.0,38.0,3.0,4.0
14,15,40.0,39.0,38.0,38.0,2.0,1.0
14,16,40.0,40.0,38.0,38.0,2.0,2.0
14,17,40.0,40.0,38.0,38.0,2.0,2.0
14,18,39.0,39.0,38.0,38.0,1.0,1.0
14,19,40.0,39.0,38.0,38.0,2.0,1.0
14,20,39.0,39.0,38.0,38.0,1.0,1.0
14,21,39.0,39.0,38.0,38.0,1.0,1.0
14,22,39.0,39.0,38.0,38.0,1.0,1.0
14,23,40.0,39.0,38.0,38.0,2.0,1.0
14,24,41.0,39.0,38.0,38.0,3.0,1.0
14,25,42.0,40.0,38.0,38.0,4.0,2.0
14,26,42.0,40.0,38.0,38.0,4.0,2.0
14,27,40.0,39.0,38.0,38.0,2.0,1.0
14,28,39.0,38.0,38.0,38.0,1.0,0.0
