year,k,A,Actual,Pred_Ck,Pred_NCk,Pred_CR,Pred_NCR
14,3,Florida,4,6,4,5,5
14,3,Albany,0,0,0,0,0
14,3,Colorado,0,0,0,0,0
14,3,Pittsburgh,1,1,1,1,1
14,3,VCU,0,0,0,2,2
14,3,Stephen F. Austin,1,1,1,0,0
14,3,UCLA,2,2,2,1,1
14,3,Tulsa,0,0,0,0,0
14,3,Ohio St.,0,2,2,1,1
14,3,Dayton,3,0,0,0,0
14,3,Syracuse,1,0,0,2,2
14,3,Western Michigan,0,1,1,0,0
14,3,New Mexico,0,1,1,1,1
14,3,Stanford,2,0,0,0,0
14,3,Kansas,1,3,3,3,3
14,3,Eastern Kentucky,0,0,0,0,0
14,3,Virginia,2,4,6,4,4
14,3,Coastal Carolina,0,0,0,0,0
14,3,Memphis,1,0,0,1,1
14,3,George Washington,0,1,1,0,0
14,3,Cincinnati,0,0,0,1,1
14,3,Harvard,1,2,2,0,0
14,3,Michigan St.,3,0,0,2,2
14,3,Delaware,0,1,1,0,0
14,3,North Carolina,1,0,0,1,1
14,3,Providence,0,1,1,0,0
14,3,Iowa St.,2,3,3,2,2
14,3,North Carolina Central,0,0,0,0,0
14,3,Connecticut,6,2,2,1,1
14,3,Saint Joseph's,0,0,0,0,0
14,3,Villanova,1,0,0,3,3
14,3,Milwaukee,0,1,1,0,0
14,3,Arizona,3,3,2,6,6
14,3,Weber St.,0,0,0,0,0
14,3,Gonzaga,1,1,1,1,1
14,3,Oklahoma St.,0,0,0,0,0
14,3,Oklahoma,0,0,0,1,1
14,3,North Dakota St.,1,2,3,0,0
14,3,San Diego St.,2,1,1,2,2
14,3,New Mexico St.,0,0,0,0,0
14,3,Baylor,2,2,2,1,1
14,3,Nebraska,0,0,0,0,0
14,3,Creighton,1,0,0,3,3
14,3,Louisiana Lafayette,0,1,1,0,0
14,3,Oregon,1,1,1,1,1
14,3,BYU,0,0,0,0,0
14,3,Wisconsin,4,4,4,2,2
14,3,American,0,0,0,0,0
14,3,Wichita St.,1,5,5,2,2
14,3,Cal Poly,0,0,0,0,0
14,3,Kentucky,5,1,1,1,1
14,3,Kansas St.,0,0,0,0,0
14,3,Saint Louis,1,0,0,1,1
14,3,North Carolina St.,0,1,1,0,0
14,3,Louisville,2,0,0,4,4
14,3,Manhattan,0,2,2,0,0
14,3,Massachusetts,0,0,0,0,0
14,3,Tennessee,2,1,3,1,1
14,3,Duke,0,3,1,3,3
14,3,Mercer,1,0,0,0,0
14,3,Texas,1,1,2,1,1
14,3,Arizona St.,0,0,0,0,0
14,3,Michigan,3,0,0,2,2
14,3,Wofford,0,2,1,0,0
14,4,Florida,4,6,4,5,5
14,4,Albany,0,0,0,0,0
14,4,Colorado,0,0,0,0,0
14,4,Pittsburgh,1,1,1,1,1
14,4,VCU,0,0,0,2,2
14,4,Stephen F. Austin,1,1,1,0,0
14,4,UCLA,2,2,2,1,1
14,4,Tulsa,0,0,0,0,0
14,4,Ohio St.,0,1,1,1,1
14,4,Dayton,3,0,0,0,0
14,4,Syracuse,1,0,0,2,2
14,4,Western Michigan,0,2,3,0,0
14,4,New Mexico,0,1,1,1,1
14,4,Stanford,2,0,0,0,0
14,4,Kansas,1,3,2,3,3
14,4,Eastern Kentucky,0,0,0,0,0
14,4,Virginia,2,4,6,4,4
14,4,Coastal Carolina,0,0,0,0,0
14,4,Memphis,1,0,0,1,1
14,4,George Washington,0,1,1,0,0
14,4,Cincinnati,0,0,0,1,1
14,4,Harvard,1,2,2,0,0
14,4,Michigan St.,3,0,0,2,2
14,4,Delaware,0,1,1,0,0
14,4,North Carolina,1,0,0,1,1
14,4,Providence,0,1,1,0,0
14,4,Iowa St.,2,3,3,2,2
14,4,North Carolina Central,0,0,0,0,0
14,4,Connecticut,6,2,1,1,1
14,4,Saint Joseph's,0,0,0,0,0
14,4,Villanova,1,1,2,3,3
14,4,Milwaukee,0,0,0,0,0
14,4,Arizona,3,3,4,6,6
14,4,Weber St.,0,0,0,0,0
14,4,Gonzaga,1,1,1,1,1
14,4,Oklahoma St.,0,0,0,0,0
14,4,Oklahoma,0,0,0,1,1
14,4,North Dakota St.,1,1,1,0,0
14,4,San Diego St.,2,2,2,2,2
14,4,New Mexico St.,0,0,0,0,0
14,4,Baylor,2,2,2,1,1
14,4,Nebraska,0,0,0,0,0
14,4,Creighton,1,0,0,3,3
14,4,Louisiana Lafayette,0,1,1,0,0
14,4,Oregon,1,1,1,1,1
14,4,BYU,0,0,0,0,0
14,4,Wisconsin,4,4,3,2,2
14,4,American,0,0,0,0,0
14,4,Wichita St.,1,5,5,2,2
14,4,Cal Poly,0,0,0,0,0
14,4,Kentucky,5,1,1,1,1
14,4,Kansas St.,0,0,0,0,0
14,4,Saint Louis,1,0,0,1,1
14,4,North Carolina St.,0,1,1,0,0
14,4,Louisville,2,0,0,4,4
14,4,Manhattan,0,2,2,0,0
14,4,Massachusetts,0,0,0,0,0
14,4,Tennessee,2,1,2,1,1
14,4,Duke,0,2,1,3,3
14,4,Mercer,1,0,0,0,0
14,4,Texas,1,1,1,1,1
14,4,Arizona St.,0,0,0,0,0
14,4,Michigan,3,3,3,2,2
14,4,Wofford,0,0,0,0,0
14,5,Florida,4,6,4,5,5
14,5,Albany,0,0,0,0,0
14,5,Colorado,0,0,0,0,0
14,5,Pittsburgh,1,1,1,1,1
14,5,VCU,0,0,0,2,2
14,5,Stephen F. Austin,1,1,1,0,0
14,5,UCLA,2,2,2,1,1
14,5,Tulsa,0,0,0,0,0
14,5,Ohio St.,0,2,2,1,1
14,5,Dayton,3,0,0,0,0
14,5,Syracuse,1,0,0,2,2
14,5,Western Michigan,0,1,1,0,0
14,5,New Mexico,0,3,1,1,1
14,5,Stanford,2,0,0,0,0
14,5,Kansas,1,1,3,3,3
14,5,Eastern Kentucky,0,0,0,0,0
14,5,Virginia,2,4,6,4,4
14,5,Coastal Carolina,0,0,0,0,0
14,5,Memphis,1,0,0,1,1
14,5,George Washington,0,1,1,0,0
14,5,Cincinnati,0,0,0,1,1
14,5,Harvard,1,1,1,0,0
14,5,Michigan St.,3,2,2,2,2
14,5,Delaware,0,0,0,0,0
14,5,North Carolina,1,0,0,1,1
14,5,Providence,0,1,1,0,0
14,5,Iowa St.,2,3,3,2,2
14,5,North Carolina Central,0,0,0,0,0
14,5,Connecticut,6,2,2,1,1
14,5,Saint Joseph's,0,0,0,0,0
14,5,Villanova,1,1,1,3,3
14,5,Milwaukee,0,0,0,0,0
14,5,Arizona,3,3,4,6,6
14,5,Weber St.,0,0,0,0,0
14,5,Gonzaga,1,1,1,1,1
14,5,Oklahoma St.,0,0,0,0,0
14,5,Oklahoma,0,1,1,1,1
14,5,North Dakota St.,1,0,0,0,0
14,5,San Diego St.,2,2,2,2,2
14,5,New Mexico St.,0,0,0,0,0
14,5,Baylor,2,2,2,1,1
14,5,Nebraska,0,0,0,0,0
14,5,Creighton,1,0,0,3,3
14,5,Louisiana Lafayette,0,1,1,0,0
14,5,Oregon,1,1,1,1,1
14,5,BYU,0,0,0,0,0
14,5,Wisconsin,4,4,3,2,2
14,5,American,0,0,0,0,0
14,5,Wichita St.,1,5,5,2,2
14,5,Cal Poly,0,0,0,0,0
14,5,Kentucky,5,1,1,1,1
14,5,Kansas St.,0,0,0,0,0
14,5,Saint Louis,1,0,0,1,1
14,5,North Carolina St.,0,1,1,0,0
14,5,Louisville,2,2,2,4,4
14,5,Manhattan,0,0,0,0,0
14,5,Massachusetts,0,1,1,0,0
14,5,Tennessee,2,0,0,1,1
14,5,Duke,0,2,2,3,3
14,5,Mercer,1,0,0,0,0
14,5,Texas,1,1,1,1,1
14,5,Arizona St.,0,0,0,0,0
14,5,Michigan,3,3,3,2,2
14,5,Wofford,0,0,0,0,0
14,6,Florida,4,6,6,5,5
14,6,Albany,0,0,0,0,0
14,6,Colorado,0,0,0,0,0
14,6,Pittsburgh,1,1,1,1,1
14,6,VCU,0,0,0,2,2
