year,k,A,Actual,Pred_Ck,Pred_NCk,Pred_CR,Pred_NCR
09,3,Pittsburgh,3,2,2,5,5
09,3,East Tennessee St.,0,0,0,0,0
09,3,Oklahoma St.,1,0,0,1,1
09,3,Tennessee,0,1,1,0,0
09,3,Florida St.,0,6,3,0,0
09,3,Wisconsin,1,0,0,1,1
09,3,Xavier,2,1,1,2,2
09,3,Portland St.,0,0,0,0,0
09,3,UCLA,1,1,1,2,2
09,3,VCU,0,0,0,0,0
09,3,Villanova,4,2,2,1,1
09,3,American,0,0,0,0,0
09,3,Texas,1,1,1,1,1
09,3,Minnesota,0,0,0,0,0
09,3,Duke,2,3,6,3,3
09,3,Binghamton,0,0,0,0,0
09,3,North Carolina,6,2,2,4,4
09,3,Radford,0,0,0,0,0
09,3,LSU,1,1,1,0,0
09,3,Butler,0,0,0,1,1
09,3,Illinois,0,4,4,1,1
09,3,Western Kentucky,1,0,0,0,0
09,3,Gonzaga,2,1,1,2,2
09,3,Akron,0,0,0,0,0
09,3,Arizona St.,1,0,0,1,1
09,3,Temple,0,2,2,0,0
09,3,Syracuse,2,0,0,2,2
09,3,Stephen F. Austin,0,1,1,0,0
09,3,Clemson,0,1,1,1,1
09,3,Michigan,1,0,0,0,0
09,3,Oklahoma,3,3,3,3,3
09,3,Morgan St.,0,0,0,0,0
09,3,Louisville,3,0,0,4,4
09,3,Morehead St.,0,2,2,0,0
09,3,Ohio St.,0,1,1,1,1
09,3,Siena,1,0,0,0,0
09,3,Utah,0,5,5,1,1
09,3,Arizona,2,0,0,0,0
09,3,Wake Forest,0,0,0,2,2
09,3,Cleveland St.,1,1,1,0,0
09,3,West Virginia,0,0,0,3,3
09,3,Dayton,1,3,3,0,0
09,3,Kansas,2,0,0,1,1
09,3,North Dakota St.,0,1,1,0,0
09,3,Boston College,0,0,0,0,0
09,3,USC,1,1,1,1,1
09,3,Michigan St.,5,2,2,2,2
09,3,Robert Morris,0,0,0,0,0
09,3,Connecticut,4,3,4,3,3
09,3,Chattanooga,0,0,0,0,0
09,3,BYU,0,1,1,1,1
09,3,Texas A&M,1,0,0,0,0
09,3,Purdue,2,2,2,2,2
09,3,Northern Iowa,0,0,0,0,0
09,3,Washington,1,0,0,1,1
09,3,Mississippi St.,0,1,1,0,0
09,3,Marquette,1,0,0,1,1
09,3,Utah St.,0,1,1,0,0
09,3,Missouri,3,4,3,2,2
09,3,Cornell,0,0,0,0,0
09,3,California,0,0,0,1,1
09,3,Maryland,1,1,1,0,0
09,3,Memphis,2,2,2,6,6
09,3,Cal St. Northridge,0,0,0,0,0
09,4,Pittsburgh,3,2,2,5,5
09,4,East Tennessee St.,0,0,0,0,0
09,4,Oklahoma St.,1,0,0,1,1
09,4,Tennessee,0,1,1,0,0
09,4,Florida St.,0,6,3,0,0
09,4,Wisconsin,1,0,0,1,1
09,4,Xavier,2,0,0,2,2
09,4,Portland St.,0,1,1,0,0
09,4,UCLA,1,2,2,2,2
09,4,VCU,0,0,0,0,0
09,4,Villanova,4,1,1,1,1
09,4,American,0,0,0,0,0
09,4,Texas,1,0,0,1,1
09,4,Minnesota,0,1,1,0,0
09,4,Duke,2,3,6,3,3
09,4,Binghamton,0,0,0,0,0
09,4,North Carolina,6,2,2,4,4
09,4,Radford,0,0,0,0,0
09,4,LSU,1,1,1,0,0
09,4,Butler,0,0,0,1,1
09,4,Illinois,0,4,4,1,1
09,4,Western Kentucky,1,0,0,0,0
09,4,Gonzaga,2,1,1,2,2
09,4,Akron,0,0,0,0,0
09,4,Arizona St.,1,0,0,1,1
09,4,Temple,0,1,1,0,0
09,4,Syracuse,2,0,0,2,2
09,4,Stephen F. Austin,0,2,3,0,0
09,4,Clemson,0,1,1,1,1
09,4,Michigan,1,0,0,0,0
09,4,Oklahoma,3,3,2,3,3
09,4,Morgan St.,0,0,0,0,0
09,4,Louisville,3,0,0,4,4
09,4,Morehead St.,0,1,1,0,0
09,4,Ohio St.,0,2,2,1,1
09,4,Siena,1,0,0,0,0
09,4,Utah,0,5,5,1,1
09,4,Arizona,2,0,0,0,0
09,4,Wake Forest,0,0,0,2,2
09,4,Cleveland St.,1,1,1,0,0
09,4,West Virginia,0,0,0,3,3
09,4,Dayton,1,3,3,0,0
09,4,Kansas,2,0,0,1,1
