year,k,A,Actual,Pred_Ck,Pred_NCk,Pred_CR,Pred_NCR
10,3,Kentucky,3,3,3,3,3
10,3,East Tennessee St.,0,0,0,0,0
10,3,Texas,0,1,1,1,1
10,3,Wake Forest,1,0,0,0,0
10,3,Temple,0,0,0,1,1
10,3,Cornell,2,2,2,0,0
10,3,Wisconsin,1,0,0,2,2
10,3,Wofford,0,1,1,0,0
10,3,Marquette,0,2,2,2,2
10,3,Washington,2,0,0,0,0
10,3,New Mexico,1,1,1,1,1
10,3,Montana,0,0,0,0,0
10,3,Clemson,0,0,0,1,1
10,3,Missouri,1,1,1,0,0
10,3,West Virginia,4,4,5,4,4
10,3,Morgan St.,0,0,0,0,0
10,3,Duke,6,6,4,5,5
10,3,Arkansas Pine Bluff,0,0,0,0,0
10,3,California,1,1,1,1,1
10,3,Louisville,0,0,0,0,0
10,3,Texas A&M,1,1,2,1,1
10,3,Utah St.,0,0,0,0,0
10,3,Purdue,2,2,1,2,2
10,3,Siena,0,0,0,0,0
10,3,Notre Dame,0,1,1,1,1
10,3,Old Dominion,1,0,0,0,0
10,3,Baylor,3,0,0,3,3
10,3,Sam Houston St.,0,3,2,0,0
10,3,Richmond,0,1,3,0,0
10,3,Saint Mary's,2,0,0,1,1
10,3,Villanova,1,2,1,2,2
10,3,Robert Morris,0,0,0,0,0
10,3,Kansas,1,5,6,6,6
10,3,Lehigh,0,0,0,0,0
10,3,UNLV,0,0,0,0,0
10,3,Northern Iowa,2,1,1,1,1
10,3,Michigan St.,4,0,0,1,1
10,3,New Mexico St.,0,1,1,0,0
10,3,Maryland,1,0,0,2,2
10,3,Houston,0,2,2,0,0
10,3,Tennessee,3,0,0,0,0
10,3,San Diego St.,0,1,1,1,1
10,3,Georgetown,0,3,3,2,2
10,3,Ohio,1,0,0,0,0
10,3,Oklahoma St.,0,0,0,0,0
10,3,Georgia Tech,1,2,2,1,1
10,3,Ohio St.,2,0,0,3,3
10,3,UC Santa Barbara,0,1,1,0,0
10,3,Syracuse,2,2,2,4,4
10,3,Vermont,0,0,0,0,0
10,3,Gonzaga,1,0,0,0,0
10,3,Florida St.,0,1,1,1,1
10,3,Butler,5,0,0,2,2
10,3,UTEP,0,1,1,0,0
10,3,Vanderbilt,0,0,0,1,1
10,3,Murray St.,1,3,3,0,0
10,3,Xavier,2,0,0,1,2
10,3,Minnesota,0,1,1,0,0
10,3,Pittsburgh,1,0,0,2,1
10,3,Oakland,0,2,2,0,0
10,3,BYU,1,1,1,1,1
10,3,Florida,0,0,0,0,0
10,3,Kansas St.,3,4,4,3,3
10,3,North Texas,0,0,0,0,0
10,4,Kentucky,3,3,3,3,3
10,4,East Tennessee St.,0,0,0,0,0
10,4,Texas,0,1,1,1,1
10,4,Wake Forest,1,0,0,0,0
10,4,Temple,0,2,2,1,1
10,4,Cornell,2,0,0,0,0
10,4,Wisconsin,1,0,0,2,2
