year,k,Accuracy_Ck,Accuracy_NCk,Accuracy_CR,Accuracy_NCR,Delta_Ck,Delta_NCk
10,3,32.0,29.0,40.0,41.0,-8.0,-12.0
10,4,32.0,30.0,40.0,41.0,-8.0,-11.0
10,5,32.0,31.0,40.0,41.0,-8.0,-10.0
10,6,33.0,34.0,40.0,41.0,-7.0,-7.0
10,7,35.0,36.0,40.0,41.0,-5.0,-5.0
10,8,33.0,33.0,40.0,41.0,-7.0,-8.0
10,9,33.0,33.0,40.0,41.0,-7.0,-8.0
10,10,34.0,34.0,40.0,41.0,-6.0,-7.0
10,11,35.0,36.0,40.0,41.0,-5.0,-5.0
10,12,33.0,33.0,40.0,41.0,-7.0,-8.0
10,13,35.0,37.0,40.0,41.0,-5.0,-4.0
10,14,36.0,36.0,40.0,41.0,-4.0,-5.0
10,15,37.0,37.0,40.0,41.0,-3.0,-4.0
10,16,39.0,38.0,40.0,41.0,-1.0,-3.0
10,17,41.0,38.0,40.0,41.0,1.0,-3.0
10,18,41.0,39.0,40.0,41.0,1.0,-2.0
10,19,42.0,40.0,40.0,41.0,2.0,-1.0
10,20,41.0,39.0,40.0,41.0,1.0,-2.0
10,21,39.0,38.0,40.0,41.0,-1.0,-3.0
10,22,40.0,40.0,40.0,41.0,0.0,-1.0
10,23,41.0,39.0,40.0,41.0,1.0,-2.0
10,24,40.0,38.0,40.0,41.0,0.0,-3.0
10,25,40.0,38.0,40.0,41.0,0.0,-3.0
10,26,41.0,41.0,40.0,41.0,1.0,0.0
10,27,41.0,42.0,40.0,41.0,1.0,1.0
10,28,40.0,43.0,40.0,41.0,0.0,2.0
