year,k,Accuracy_Ck,Accuracy_NCk,Accuracy_CR,Accuracy_NCR,Delta_Ck,Delta_NCk
07,3,46.0,47.0,46.0,43.0,0.0,4.0
07,4,45.0,42.0,46.0,43.0,-1.0,-1.0
07,5,43.0,44.0,46.0,43.0,-3.0,1.0
07,6,44.0,44.0,46.0,43.0,-2.0,1.0
07,7,45.0,45.0,46.0,43.0,-1.0,2.0
07,8,46.0,43.0,46.0,43.0,0.0,0.0
07,9,47.0,43.0,46.0,43.0,1.0,0.0
07,10,50.0,46.0,46.0,43.0,4.0,3.0
07,11,51.0,48.0,46.0,43.0,5.0,5.0
07,12,50.0,47.0,46.0,43.0,4.0,4.0
07,13,52.0,49.0,46.0,43.0,6.0,6.0
07,14,49.0,49.0,46.0,43.0,3.0,6.0
07,15,49.0,49.0,46.0,43.0,3.0,6.0
07,16,50.0,50.0,46.0,43.0,4.0,7.0
07,17,50.0,50.0,46.0,43.0,4.0,7.0
07,18,49.0,49.0,46.0,43.0,3.0,6.0
07,19,49.0,49.0,46.0,43.0,3.0,6.0
07,20,50.0,50.0,46.0,43.0,4.0,7.0
07,21,49.0,47.0,46.0,43.0,3.0,4.0
07,22,48.0,47.0,46.0,43.0,2.0,4.0
07,23,49.0,48.0,46.0,43.0,3.0,5.0
07,24,50.0,50.0,46.0,43.0,4.0,7.0
07,25,50.0,50.0,46.0,43.0,4.0,7.0
07,26,51.0,51.0,46.0,43.0,5.0,8.0
07,27,50.0,50.0,46.0,43.0,4.0,7.0
07,28,50.0,50.0,46.0,43.0,4.0,7.0
