year,k,Accuracy_Ck,Accuracy_NCk,Accuracy_CR,Accuracy_NCR,Delta_Ck,Delta_NCk
08,3,35.0,37.0,47.0,47.0,-12.0,-10.0
08,4,38.0,37.0,47.0,47.0,-9.0,-10.0
08,5,38.0,38.0,47.0,47.0,-9.0,-9.0
08,6,37.0,39.0,47.0,47.0,-10.0,-8.0
08,7,38.0,38.0,47.0,47.0,-9.0,-9.0
08,8,36.0,37.0,47.0,47.0,-11.0,-10.0
08,9,39.0,38.0,47.0,47.0,-8.0,-9.0
08,10,43.0,42.0,47.0,47.0,-4.0,-5.0
08,11,45.0,43.0,47.0,47.0,-2.0,-4.0
08,12,44.0,42.0,47.0,47.0,-3.0,-5.0
08,13,44.0,44.0,47.0,47.0,-3.0,-3.0
08,14,42.0,42.0,47.0,47.0,-5.0,-5.0
08,15,44.0,44.0,47.0,47.0,-3.0,-3.0
08,16,45.0,45.0,47.0,47.0,-2.0,-2.0
08,17,45.0,45.0,47.0,47.0,-2.0,-2.0
08,18,45.0,44.0,47.0,47.0,-2.0,-3.0
08,19,44.0,43.0,47.0,47.0,-3.0,-4.0
08,20,44.0,42.0,47.0,47.0,-3.0,-5.0
08,21,44.0,42.0,47.0,47.0,-3.0,-5.0
08,22,44.0,44.0,47.0,47.0,-3.0,-3.0
08,23,45.0,44.0,47.0,47.0,-2.0,-3.0
08,24,45.0,44.0,47.0,47.0,-2.0,-3.0
08,25,45.0,44.0,47.0,47.0,-2.0,-3.0
08,26,45.0,44.0,47.0,47.0,-2.0,-3.0
