year,k,Accuracy_Ck,Accuracy_NCk,Accuracy_CR,Accuracy_NCR,Delta_Ck,Delta_NCk
11,3,31.0,32.0,37.0,37.0,-6.0,-5.0
11,4,29.0,29.0,37.0,37.0,-8.0,-8.0
11,5,28.0,31.0,37.0,37.0,-9.0,-6.0
11,6,28.0,31.0,37.0,37.0,-9.0,-6.0
11,7,28.0,30.0,37.0,37.0,-9.0,-7.0
11,8,31.0,33.0,37.0,37.0,-6.0,-4.0
11,9,34.0,34.0,37.0,37.0,-3.0,-3.0
11,10,29.0,29.0,37.0,37.0,-8.0,-8.0
11,11,29.0,30.0,37.0,37.0,-8.0,-7.0
11,12,33.0,34.0,37.0,37.0,-4.0,-3.0
11,13,32.0,33.0,37.0,37.0,-5.0,-4.0
11,14,31.0,32.0,37.0,37.0,-6.0,-5.0
11,15,33.0,33.0,37.0,37.0,-4.0,-4.0
11,16,33.0,35.0,37.0,37.0,-4.0,-2.0
11,17,33.0,35.0,37.0,37.0,-4.0,-2.0
11,18,31.0,33.0,37.0,37.0,-6.0,-4.0
11,19,33.0,34.0,37.0,37.0,-4.0,-3.0
11,20,32.0,34.0,37.0,37.0,-5.0,-3.0
11,21,32.0,32.0,37.0,37.0,-5.0,-5.0
11,22,32.0,31.0,37.0,37.0,-5.0,-6.0
11,23,32.0,31.0,37.0,37.0,-5.0,-6.0
11,24,34.0,35.0,37.0,37.0,-3.0,-2.0
11,25,36.0,35.0,37.0,37.0,-1.0,-2.0
11,26,35.0,35.0,37.0,37.0,-2.0,-2.0
11,27,34.0,35.0,37.0,37.0,-3.0,-2.0
11,28,34.0,35.0,37.0,37.0,-3.0,-2.0
11,29,34.0,35.0,37.0,37.0,-3.0,-2.0
