year,k,A,Actual,Pred_Ck,Pred_NCk,Pred_CR,Pred_NCR
11,3,Ohio St.,2,4,4,6,6
11,3,UTSA,0,0,0,0,0
11,3,George Mason,1,0,0,1,1
11,3,Villanova,0,1,1,0,0
11,3,West Virginia,1,1,1,1,1
11,3,Clemson,0,0,0,0,0
11,3,Kentucky,4,2,2,2,2
11,3,Princeton,0,0,0,0,0
11,3,Xavier,0,1,1,0,0
11,3,Marquette,2,0,0,1,1
11,3,Syracuse,1,3,3,2,2
11,3,Indiana St.,0,0,0,0,0
11,3,Washington,1,1,1,1,1
11,3,Georgia,0,0,0,0,0
11,3,North Carolina,3,2,2,3,3
11,3,LIU Brooklyn,0,0,0,0,0
11,3,Duke,2,3,3,4,4
11,3,Hampton,0,0,0,0,0
11,3,Michigan,1,0,0,1,1
11,3,Tennessee,0,1,1,0,0
11,3,Arizona,3,1,1,1,1
11,3,Memphis,0,0,0,0,0
11,3,Texas,1,2,2,2,2
11,3,Oakland,0,0,0,0,0
11,3,Cincinnati,1,1,1,1,1
11,3,Missouri,0,0,0,0,0
11,3,Connecticut,6,5,6,2,2
11,3,Bucknell,0,0,0,0,0
11,3,Temple,1,0,0,1,1
11,3,Penn St.,0,1,1,0,0
11,3,San Diego St.,2,2,2,3,3
11,3,Northern Colorado,0,0,0,0,0
11,3,Pittsburgh,1,2,2,4,4
11,3,UNC Asheville,0,0,0,0,0
11,3,Butler,5,1,1,0,0
11,3,Old Dominion,0,0,0,1,1
11,3,Kansas St.,1,0,0,0,0
11,3,Utah St.,0,1,1,1,1
11,3,Wisconsin,2,0,0,2,2
11,3,Belmont,0,4,4,0,0
11,3,St. John's,0,1,1,1,1
11,3,Gonzaga,1,0,0,0,0
11,3,BYU,2,3,3,3,3
11,3,Wofford,0,0,0,0,0
11,3,UCLA,1,0,0,0,0
11,3,Michigan St.,0,1,1,1,1
11,3,Florida,3,0,0,2,2
11,3,UC Santa Barbara,0,2,2,0,0
11,3,Kansas,3,6,5,5,5
11,3,Boston University,0,0,0,0,0
11,3,UNLV,0,1,1,0,0
11,3,Illinois,1,0,0,1,1
11,3,Vanderbilt,0,0,0,0,0
11,3,Richmond,2,2,2,1,1
11,3,Louisville,0,1,1,2,2
11,3,Morehead St.,1,0,0,0,0
11,3,Georgetown,0,2,2,1,1
11,3,VCU,4,0,0,0,0
11,3,Purdue,1,0,0,2,2
11,3,Saint Peter's,0,1,1,0,0
11,3,Texas A&M,0,1,1,1,1
11,3,Florida St.,2,0,0,0,0
11,3,Notre Dame,1,3,3,3,3
11,3,Akron,0,0,0,0,0
11,4,Ohio St.,2,4,4,6,6
11,4,UTSA,0,0,0,0,0
11,4,George Mason,1,0,0,1,1
11,4,Villanova,0,1,1,0,0
11,4,West Virginia,1,0,0,1,1
11,4,Clemson,0,1,1,0,0
11,4,Kentucky,4,2,2,2,2
11,4,Princeton,0,0,0,0,0
11,4,Xavier,0,1,1,0,0
11,4,Marquette,2,0,0,1,1
11,4,Syracuse,1,3,3,2,2
11,4,Indiana St.,0,0,0,0,0
11,4,Washington,1,2,2,1,1
11,4,Georgia,0,0,0,0,0
11,4,North Carolina,3,1,1,3,3
11,4,LIU Brooklyn,0,0,0,0,0
11,4,Duke,2,3,3,4,4
11,4,Hampton,0,0,0,0,0
11,4,Michigan,1,0,0,1,1
11,4,Tennessee,0,1,1,0,0
11,4,Arizona,3,0,0,1,1
11,4,Memphis,0,1,1,0,0
11,4,Texas,1,0,0,2,2
11,4,Oakland,0,2,2,0,0
11,4,Cincinnati,1,0,0,1,1
11,4,Missouri,0,1,1,0,0
11,4,Connecticut,6,6,6,2,2
11,4,Bucknell,0,0,0,0,0
11,4,Temple,1,0,0,1,1
11,4,Penn St.,0,1,1,0,0
11,4,San Diego St.,2,2,2,3,3
11,4,Northern Colorado,0,0,0,0,0
11,4,Pittsburgh,1,1,1,4,4
11,4,UNC Asheville,0,0,0,0,0
11,4,Butler,5,0,0,0,0
11,4,Old Dominion,0,4,4,1,1
11,4,Kansas St.,1,0,0,0,0
11,4,Utah St.,0,1,1,1,1
11,4,Wisconsin,2,0,0,2,2
11,4,Belmont,0,2,2,0,0
11,4,St. John's,0,1,1,1,1
11,4,Gonzaga,1,0,0,0,0
11,4,BYU,2,3,3,3,3
11,4,Wofford,0,0,0,0,0
11,4,UCLA,1,1,1,0,0
11,4,Michigan St.,0,0,0,1,1
11,4,Florida,3,2,2,2,2
11,4,UC Santa Barbara,0,0,0,0,0
11,4,Kansas,3,5,5,5,5
11,4,Boston University,0,0,0,0,0
11,4,UNLV,0,1,1,0,0
11,4,Illinois,1,0,0,1,1
11,4,Vanderbilt,0,0,0,0,0
11,4,Richmond,2,2,2,1,1
11,4,Louisville,0,1,1,2,2
11,4,Morehead St.,1,0,0,0,0
11,4,Georgetown,0,3,3,1,1
11,4,VCU,4,0,0,0,0
11,4,Purdue,1,0,0,2,2
11,4,Saint Peter's,0,1,1,0,0
11,4,Texas A&M,0,1,1,1,1
11,4,Florida St.,2,0,0,0,0
11,4,Notre Dame,1,2,2,3,3
11,4,Akron,0,0,0,0,0
11,5,Ohio St.,2,4,2,6,6
11,5,UTSA,0,0,0,0,0
11,5,George Mason,1,0,0,1,1
11,5,Villanova,0,1,1,0,0
11,5,West Virginia,1,0,0,1,1
11,5,Clemson,0,1,1,0,0
11,5,Kentucky,4,2,4,2,2
11,5,Princeton,0,0,0,0,0
11,5,Xavier,0,1,1,0,0
11,5,Marquette,2,0,0,1,1
11,5,Syracuse,1,3,3,2,2
11,5,Indiana St.,0,0,0,0,0
11,5,Washington,1,2,2,1,1
11,5,Georgia,0,0,0,0,0
11,5,North Carolina,3,1,1,3,3
11,5,LIU Brooklyn,0,0,0,0,0
11,5,Duke,2,3,3,4,4
11,5,Hampton,0,0,0,0,0
11,5,Michigan,1,0,0,1,1
11,5,Tennessee,0,1,1,0,0
11,5,Arizona,3,0,0,1,1
11,5,Memphis,0,1,1,0,0
11,5,Texas,1,0,0,2,2
11,5,Oakland,0,2,2,0,0
11,5,Cincinnati,1,1,1,1,1
11,5,Missouri,0,0,0,0,0
11,5,Connecticut,6,5,6,2,2
11,5,Bucknell,0,0,0,0,0
11,5,Temple,1,0,0,1,1
11,5,Penn St.,0,1,1,0,0
11,5,San Diego St.,2,2,2,3,3
11,5,Northern Colorado,0,0,0,0,0
11,5,Pittsburgh,1,1,1,4,4
11,5,UNC Asheville,0,0,0,0,0
11,5,Butler,5,0,0,0,0
11,5,Old Dominion,0,4,4,1,1
11,5,Kansas St.,1,0,0,0,0
11,5,Utah St.,0,1,1,1,1
11,5,Wisconsin,2,0,0,2,2
11,5,Belmont,0,2,2,0,0
11,5,St. John's,0,3,3,1,1
11,5,Gonzaga,1,0,0,0,0
11,5,BYU,2,1,1,3,3
11,5,Wofford,0,0,0,0,0
11,5,UCLA,1,0,0,0,0
11,5,Michigan St.,0,1,1,1,1
11,5,Florida,3,2,2,2,2
11,5,UC Santa Barbara,0,0,0,0,0
11,5,Kansas,3,6,5,5,5
11,5,Boston University,0,0,0,0,0
11,5,UNLV,0,1,1,0,0
11,5,Illinois,1,0,0,1,1
11,5,Vanderbilt,0,0,0,0,0
11,5,Richmond,2,2,2,1,1
11,5,Louisville,0,1,1,2,2
11,5,Morehead St.,1,0,0,0,0
11,5,Georgetown,0,3,3,1,1
11,5,VCU,4,0,0,0,0
11,5,Purdue,1,1,1,2,2
11,5,Saint Peter's,0,0,0,0,0
11,5,Texas A&M,0,1,1,1,1
11,5,Florida St.,2,0,0,0,0
11,5,Notre Dame,1,2,2,3,3
11,5,Akron,0,0,0,0,0
11,6,Ohio St.,2,4,2,6,6
11,6,UTSA,0,0,0,0,0
11,6,George Mason,1,0,0,1,1
11,6,Villanova,0,1,1,0,0
11,6,West Virginia,1,1,1,1,1
11,6,Clemson,0,0,0,0,0
11,6,Kentucky,4,2,4,2,2
11,6,Princeton,0,0,0,0,0
11,6,Xavier,0,1,1,0,0
11,6,Marquette,2,0,0,1,1
11,6,Syracuse,1,3,3,2,2
11,6,Indiana St.,0,0,0,0,0
11,6,Washington,1,2,2,1,1
11,6,Georgia,0,0,0,0,0
11,6,North Carolina,3,1,1,3,3
11,6,LIU Brooklyn,0,0,0,0,0
11,6,Duke,2,3,3,4,4
11,6,Hampton,0,0,0,0,0
11,6,Michigan,1,0,0,1,1
11,6,Tennessee,0,1,1,0,0
11,6,Arizona,3,0,0,1,1
11,6,Memphis,0,2,2,0,0
11,6,Texas,1,1,1,2,2
11,6,Oakland,0,0,0,0,0
11,6,Cincinnati,1,1,1,1,1
11,6,Missouri,0,0,0,0,0
11,6,Connecticut,6,5,6,2,2
11,6,Bucknell,0,0,0,0,0
