year,k,A,Actual,Pred_Ck,Pred_NCk,Pred_CR,Pred_NCR
13,3,Kansas,2,5,2,3,3
13,3,Western Kentucky,0,0,0,0,0
13,3,North Carolina,1,0,0,1,1
13,3,Villanova,0,1,1,0,0
13,3,VCU,1,0,0,1,1
13,3,Akron,0,1,1,0,0
13,3,Michigan,5,2,4,2,2
13,3,South Dakota St.,0,0,0,0,0
13,3,UCLA,0,0,0,0,0
13,3,Minnesota,1,2,2,1,1
13,3,Florida,3,1,1,5,5
13,3,Northwestern St.,0,0,0,0,0
13,3,San Diego St.,1,1,1,1,1
13,3,Oklahoma,0,0,0,0,0
13,3,Georgetown,0,3,3,2,2
13,3,Florida Gulf Coast,2,0,0,0,0
13,3,Indiana,2,1,2,4,4
13,3,James Madison,0,0,0,0,0
13,3,North Carolina St.,0,2,1,1,1
13,3,Temple,1,0,0,0,0
13,3,UNLV,0,1,1,1,1
13,3,California,1,0,0,0,0
13,3,Syracuse,4,4,5,2,2
13,3,Montana,0,0,0,0,0
13,3,Butler,1,3,2,1,1
13,3,Bucknell,0,0,0,0,0
13,3,Marquette,3,1,1,2,2
13,3,Davidson,0,0,0,0,0
13,3,Illinois,1,1,1,1,1
13,3,Colorado,0,0,0,0,0
13,3,Miami FL,2,2,3,3,3
13,3,Pacific,0,0,0,0,0
13,3,Louisville,6,3,3,6,6
13,3,North Carolina A&T,0,0,0,0,0
13,3,Colorado St.,1,0,0,1,1
13,3,Missouri,0,1,1,0,0
13,3,Oklahoma St.,0,1,1,1,1
13,3,Oregon,2,0,0,0,0
13,3,Saint Louis,1,2,2,2,2
13,3,New Mexico St.,0,0,0,0,0
13,3,Memphis,1,1,1,1,1
13,3,Saint Mary's,0,0,0,0,0
13,3,Michigan St.,2,2,2,2,2
13,3,Valparaiso,0,0,0,0,0
13,3,Creighton,1,1,1,1,1
13,3,Cincinnati,0,0,0,0,0
13,3,Duke,3,4,6,3,3
13,3,Albany,0,0,0,0,0
13,3,Gonzaga,1,6,4,4,4
13,3,Southern,0,0,0,0,0
13,3,Pittsburgh,0,0,0,1,1
13,3,Wichita St.,4,1,1,0,0
13,3,Wisconsin,0,0,0,2,2
13,3,Mississippi,1,2,2,0,0
13,3,Kansas St.,0,1,1,1,1
13,3,La Salle,2,0,0,0,0
13,3,Arizona,2,0,0,1,1
13,3,Belmont,0,1,1,0,0
13,3,New Mexico,0,3,3,2,2
13,3,Harvard,1,0,0,0,0
13,3,Notre Dame,0,1,1,1,1
13,3,Iowa St.,1,0,0,0,0
13,3,Ohio St.,3,2,2,3,3
13,3,Iona,0,0,0,0,0
13,4,Kansas,2,5,5,3,3
13,4,Western Kentucky,0,0,0,0,0
13,4,North Carolina,1,1,1,1,1
13,4,Villanova,0,0,0,0,0
13,4,VCU,1,0,0,1,1
13,4,Akron,0,2,1,0,0
13,4,Michigan,5,0,0,2,2
13,4,South Dakota St.,0,1,2,0,0
13,4,UCLA,0,0,0,0,0
13,4,Minnesota,1,2,2,1,1
13,4,Florida,3,1,1,5,5
13,4,Northwestern St.,0,0,0,0,0
13,4,San Diego St.,1,1,1,1,1
13,4,Oklahoma,0,0,0,0,0
13,4,Georgetown,0,3,3,2,2
13,4,Florida Gulf Coast,2,0,0,0,0
13,4,Indiana,2,0,0,4,4
13,4,James Madison,0,1,1,0,0
13,4,North Carolina St.,0,2,2,1,1
13,4,Temple,1,0,0,0,0
13,4,UNLV,0,1,1,1,1
13,4,California,1,0,0,0,0
13,4,Syracuse,4,4,3,2,2
13,4,Montana,0,0,0,0,0
13,4,Butler,1,2,4,1,1
13,4,Bucknell,0,0,0,0,0
13,4,Marquette,3,0,0,2,2
13,4,Davidson,0,1,1,0,0
13,4,Illinois,1,0,0,1,1
13,4,Colorado,0,3,2,0,0
13,4,Miami FL,2,1,1,3,3
13,4,Pacific,0,0,0,0,0
13,4,Louisville,6,3,3,6,6
13,4,North Carolina A&T,0,0,0,0,0
13,4,Colorado St.,1,0,0,1,1
13,4,Missouri,0,1,1,0,0
13,4,Oklahoma St.,0,1,2,1,1
13,4,Oregon,2,0,0,0,0
13,4,Saint Louis,1,2,1,2,2
13,4,New Mexico St.,0,0,0,0,0
13,4,Memphis,1,1,1,1,1
13,4,Saint Mary's,0,0,0,0,0
13,4,Michigan St.,2,2,2,2,2
13,4,Valparaiso,0,0,0,0,0
13,4,Creighton,1,4,4,1,1
13,4,Cincinnati,0,0,0,0,0
13,4,Duke,3,1,1,3,3
13,4,Albany,0,0,0,0,0
13,4,Gonzaga,1,6,6,4,4
13,4,Southern,0,0,0,0,0
13,4,Pittsburgh,0,0,0,1,1
13,4,Wichita St.,4,1,1,0,0
13,4,Wisconsin,0,0,0,2,2
13,4,Mississippi,1,2,2,0,0
13,4,Kansas St.,0,0,0,1,1
13,4,La Salle,2,1,1,0,0
13,4,Arizona,2,0,0,1,1
13,4,Belmont,0,1,1,0,0
13,4,New Mexico,0,3,3,2,2
13,4,Harvard,1,0,0,0,0
13,4,Notre Dame,0,1,1,1,1
13,4,Iowa St.,1,0,0,0,0
13,4,Ohio St.,3,2,2,3,3
13,4,Iona,0,0,0,0,0
13,5,Kansas,2,5,5,3,3
13,5,Western Kentucky,0,0,0,0,0
13,5,North Carolina,1,1,1,1,1
13,5,Villanova,0,0,0,0,0
13,5,VCU,1,0,0,1,1
13,5,Akron,0,2,2,0,0
13,5,Michigan,5,0,0,2,2
13,5,South Dakota St.,0,1,1,0,0
13,5,UCLA,0,0,0,0,0
13,5,Minnesota,1,1,1,1,1
13,5,Florida,3,2,2,5,5
13,5,Northwestern St.,0,0,0,0,0
13,5,San Diego St.,1,0,0,1,1
13,5,Oklahoma,0,1,1,0,0
13,5,Georgetown,0,3,3,2,2
13,5,Florida Gulf Coast,2,0,0,0,0
13,5,Indiana,2,0,0,4,4
13,5,James Madison,0,1,1,0,0
13,5,North Carolina St.,0,2,2,1,1
13,5,Temple,1,0,0,0,0
13,5,UNLV,0,1,1,1,1
13,5,California,1,0,0,0,0
13,5,Syracuse,4,4,4,2,2
13,5,Montana,0,0,0,0,0
13,5,Butler,1,3,3,1,1
13,5,Bucknell,0,0,0,0,0
13,5,Marquette,3,0,0,2,2
13,5,Davidson,0,1,1,0,0
13,5,Illinois,1,0,0,1,1
13,5,Colorado,0,2,2,0,0
13,5,Miami FL,2,1,1,3,3
13,5,Pacific,0,0,0,0,0
13,5,Louisville,6,3,3,6,6
13,5,North Carolina A&T,0,0,0,0,0
13,5,Colorado St.,1,0,0,1,1
13,5,Missouri,0,1,1,0,0
13,5,Oklahoma St.,0,1,2,1,1
13,5,Oregon,2,0,0,0,0
13,5,Saint Louis,1,2,1,2,2
13,5,New Mexico St.,0,0,0,0,0
13,5,Memphis,1,2,2,1,1
13,5,Saint Mary's,0,0,0,0,0
13,5,Michigan St.,2,1,1,2,2
13,5,Valparaiso,0,0,0,0,0
13,5,Creighton,1,4,4,1,1
13,5,Cincinnati,0,0,0,0,0
13,5,Duke,3,1,1,3,3
13,5,Albany,0,0,0,0,0
13,5,Gonzaga,1,6,6,4,4
13,5,Southern,0,0,0,0,0
13,5,Pittsburgh,0,0,0,1,1
13,5,Wichita St.,4,1,1,0,0
13,5,Wisconsin,0,0,0,2,2
13,5,Mississippi,1,2,2,0,0
13,5,Kansas St.,0,0,0,1,1
13,5,La Salle,2,1,1,0,0
13,5,Arizona,2,1,1,1,1
13,5,Belmont,0,0,0,0,0
13,5,New Mexico,0,3,3,2,2
13,5,Harvard,1,0,0,0,0
13,5,Notre Dame,0,1,1,1,1
13,5,Iowa St.,1,0,0,0,0
13,5,Ohio St.,3,2,2,3,3
13,5,Iona,0,0,0,0,0
13,6,Kansas,2,5,5,3,3
13,6,Western Kentucky,0,0,0,0,0
13,6,North Carolina,1,1,1,1,1
13,6,Villanova,0,0,0,0,0
13,6,VCU,1,0,0,1,1
13,6,Akron,0,1,1,0,0
13,6,Michigan,5,2,2,2,2
13,6,South Dakota St.,0,0,0,0,0
13,6,UCLA,0,0,0,0,0
13,6,Minnesota,1,1,1,1,1
13,6,Florida,3,2,2,5,5
13,6,Northwestern St.,0,0,0,0,0
13,6,San Diego St.,1,0,0,1,1
13,6,Oklahoma,0,1,1,0,0
13,6,Georgetown,0,3,3,2,2
13,6,Florida Gulf Coast,2,0,0,0,0
13,6,Indiana,2,1,2,4,4
13,6,James Madison,0,0,0,0,0
13,6,North Carolina St.,0,2,1,1,1
13,6,Temple,1,0,0,0,0
13,6,UNLV,0,1,1,1,1
13,6,California,1,0,0,0,0
13,6,Syracuse,4,4,3,2,2
13,6,Montana,0,0,0,0,0
13,6,Butler,1,2,2,1,1
13,6,Bucknell,0,0,0,0,0
13,6,Marquette,3,0,0,2,2
13,6,Davidson,0,1,1,0,0
13,6,Illinois,1,0,0,1,1
13,6,Colorado,0,1,1,0,0
13,6,Miami FL,2,3,4,3,3
13,6,Pacific,0,0,0,0,0
13,6,Louisville,6,4,3,6,6
13,6,North Carolina A&T,0,0,0,0,0
13,6,Colorado St.,1,0,0,1,1
13,6,Missouri,0,1,1,0,0
13,6,Oklahoma St.,0,0,0,1,1
13,6,Oregon,2,1,1,0,0
13,6,Saint Louis,1,2,2,2,2
13,6,New Mexico St.,0,0,0,0,0
13,6,Memphis,1,2,2,1,1
13,6,Saint Mary's,0,0,0,0,0
13,6,Michigan St.,2,1,1,2,2
13,6,Valparaiso,0,0,0,0,0
13,6,Creighton,1,0,0,1,1
13,6,Cincinnati,0,1,1,0,0
13,6,Duke,3,3,4,3,3
13,6,Albany,0,0,0,0,0
13,6,Gonzaga,1,6,6,4,4
13,6,Southern,0,0,0,0,0
13,6,Pittsburgh,0,0,0,1,1
13,6,Wichita St.,4,1,1,0,0
13,6,Wisconsin,0,0,0,2,2
13,6,Mississippi,1,2,2,0,0
13,6,Kansas St.,0,1,1,1,1
13,6,La Salle,2,0,0,0,0
13,6,Arizona,2,1,1,1,1
13,6,Belmont,0,0,0,0,0
13,6,New Mexico,0,3,3,2,2
13,6,Harvard,1,0,0,0,0
13,6,Notre Dame,0,1,1,1,1
13,6,Iowa St.,1,0,0,0,0
13,6,Ohio St.,3,2,2,3,3
13,6,Iona,0,0,0,0,0
13,7,Kansas,2,5,5,3,3
13,7,Western Kentucky,0,0,0,0,0
13,7,North Carolina,1,1,1,1,1
13,7,Villanova,0,0,0,0,0
13,7,VCU,1,0,0,1,1
13,7,Akron,0,1,1,0,0
13,7,Michigan,5,2,2,2,2
13,7,South Dakota St.,0,0,0,0,0
13,7,UCLA,0,0,0,0,0
13,7,Minnesota,1,1,1,1,1
13,7,Florida,3,3,2,5,5
13,7,Northwestern St.,0,0,0,0,0
13,7,San Diego St.,1,1,1,1,1
13,7,Oklahoma,0,0,0,0,0
13,7,Georgetown,0,2,3,2,2
13,7,Florida Gulf Coast,2,0,0,0,0
13,7,Indiana,2,1,1,4,4
13,7,James Madison,0,0,0,0,0
13,7,North Carolina St.,0,2,3,1,1
13,7,Temple,1,0,0,0,0
13,7,UNLV,0,0,0,1,1
13,7,California,1,1,1,0,0
13,7,Syracuse,4,3,2,2,2
13,7,Montana,0,0,0,0,0
13,7,Butler,1,2,2,1,1
13,7,Bucknell,0,0,0,0,0
13,7,Marquette,3,1,1,2,2
13,7,Davidson,0,0,0,0,0
13,7,Illinois,1,0,0,1,1
13,7,Colorado,0,4,1,0,0
13,7,Miami FL,2,1,4,3,3
13,7,Pacific,0,0,0,0,0
13,7,Louisville,6,3,3,6,6
13,7,North Carolina A&T,0,0,0,0,0
13,7,Colorado St.,1,1,1,1,1
13,7,Missouri,0,0,0,0,0
13,7,Oklahoma St.,0,1,1,1,1
13,7,Oregon,2,0,0,0,0
13,7,Saint Louis,1,2,2,2,2
13,7,New Mexico St.,0,0,0,0,0
13,7,Memphis,1,1,1,1,1
13,7,Saint Mary's,0,0,0,0,0
13,7,Michigan St.,2,2,2,2,2
13,7,Valparaiso,0,0,0,0,0
13,7,Creighton,1,0,0,1,1
13,7,Cincinnati,0,1,1,0,0
13,7,Duke,3,4,4,3,3
13,7,Albany,0,0,0,0,0
13,7,Gonzaga,1,6,6,4,4
13,7,Southern,0,0,0,0,0
13,7,Pittsburgh,0,0,0,1,1
13,7,Wichita St.,4,1,1,0,0
13,7,Wisconsin,0,0,0,2,2
13,7,Mississippi,1,2,2,0,0
13,7,Kansas St.,0,1,1,1,1
13,7,La Salle,2,0,0,0,0
13,7,Arizona,2,1,1,1,1
13,7,Belmont,0,0,0,0,0
13,7,New Mexico,0,3,2,2,2
13,7,Harvard,1,0,0,0,0
13,7,Notre Dame,0,1,1,1,1
13,7,Iowa St.,1,0,0,0,0
13,7,Ohio St.,3,2,3,3,3
13,7,Iona,0,0,0,0,0
13,8,Kansas,2,5,5,3,3
13,8,Western Kentucky,0,0,0,0,0
13,8,North Carolina,1,1,1,1,1
13,8,Villanova,0,0,0,0,0
13,8,VCU,1,1,1,1,1
13,8,Akron,0,0,0,0,0
13,8,Michigan,5,2,2,2,2
13,8,South Dakota St.,0,0,0,0,0
13,8,UCLA,0,1,1,0,0
13,8,Minnesota,1,0,0,1,1
13,8,Florida,3,3,3,5,5
13,8,Northwestern St.,0,0,0,0,0
13,8,San Diego St.,1,1,1,1,1
13,8,Oklahoma,0,0,0,0,0
13,8,Georgetown,0,2,2,2,2
13,8,Florida Gulf Coast,2,0,0,0,0
13,8,Indiana,2,2,3,4,4
13,8,James Madison,0,0,0,0,0
13,8,North Carolina St.,0,0,0,1,1
13,8,Temple,1,1,1,0,0
13,8,UNLV,0,0,0,1,1
13,8,California,1,1,1,0,0
13,8,Syracuse,4,3,2,2,2
13,8,Montana,0,0,0,0,0
13,8,Butler,1,0,0,1,1
13,8,Bucknell,0,2,2,0,0
13,8,Marquette,3,1,1,2,2
13,8,Davidson,0,0,0,0,0
13,8,Illinois,1,0,0,1,1
13,8,Colorado,0,1,1,0,0
13,8,Miami FL,2,4,4,3,3
13,8,Pacific,0,0,0,0,0
13,8,Louisville,6,4,2,6,6
13,8,North Carolina A&T,0,0,0,0,0
13,8,Colorado St.,1,0,0,1,1
13,8,Missouri,0,1,1,0,0
13,8,Oklahoma St.,0,0,0,1,1
13,8,Oregon,2,1,1,0,0
13,8,Saint Louis,1,2,4,2,2
13,8,New Mexico St.,0,0,0,0,0
13,8,Memphis,1,2,2,1,1
13,8,Saint Mary's,0,0,0,0,0
13,8,Michigan St.,2,1,1,2,2
13,8,Valparaiso,0,0,0,0,0
13,8,Creighton,1,1,1,1,1
13,8,Cincinnati,0,0,0,0,0
13,8,Duke,3,3,3,3,3
13,8,Albany,0,0,0,0,0
13,8,Gonzaga,1,6,6,4,4
13,8,Southern,0,0,0,0,0
13,8,Pittsburgh,0,0,0,1,1
13,8,Wichita St.,4,1,1,0,0
13,8,Wisconsin,0,0,0,2,2
13,8,Mississippi,1,1,2,0,0
13,8,Kansas St.,0,2,1,1,1
13,8,La Salle,2,0,0,0,0
13,8,Arizona,2,1,1,1,1
13,8,Belmont,0,0,0,0,0
13,8,New Mexico,0,3,3,2,2
13,8,Harvard,1,0,0,0,0
13,8,Notre Dame,0,1,1,1,1
13,8,Iowa St.,1,0,0,0,0
13,8,Ohio St.,3,2,2,3,3
13,8,Iona,0,0,0,0,0
13,9,Kansas,2,5,5,3,3
13,9,Western Kentucky,0,0,0,0,0
13,9,North Carolina,1,1,1,1,1
13,9,Villanova,0,0,0,0,0
13,9,VCU,1,0,0,1,1
13,9,Akron,0,1,1,0,0
13,9,Michigan,5,2,2,2,2
13,9,South Dakota St.,0,0,0,0,0
13,9,UCLA,0,1,1,0,0
13,9,Minnesota,1,0,0,1,1
13,9,Florida,3,3,3,5,5
13,9,Northwestern St.,0,0,0,0,0
13,9,San Diego St.,1,1,1,1,1
13,9,Oklahoma,0,0,0,0,0
13,9,Georgetown,0,2,2,2,2
13,9,Florida Gulf Coast,2,0,0,0,0
13,9,Indiana,2,3,3,4,4
13,9,James Madison,0,0,0,0,0
13,9,North Carolina St.,0,1,1,1,1
13,9,Temple,1,0,0,0,0
13,9,UNLV,0,0,0,1,1
13,9,California,1,1,1,0,0
13,9,Syracuse,4,2,2,2,2
13,9,Montana,0,0,0,0,0
13,9,Butler,1,2,2,1,1
13,9,Bucknell,0,0,0,0,0
13,9,Marquette,3,0,0,2,2
13,9,Davidson,0,1,1,0,0
13,9,Illinois,1,0,0,1,1
13,9,Colorado,0,1,1,0,0
13,9,Miami FL,2,4,4,3,3
13,9,Pacific,0,0,0,0,0
13,9,Louisville,6,4,2,6,6
13,9,North Carolina A&T,0,0,0,0,0
