year,k,Accuracy_Ck,Accuracy_NCk,Accuracy_CR,Accuracy_NCR,Delta_Ck,Delta_NCk
13,3,33.0,36.0,41.0,41.0,-8.0,-5.0
13,4,27.0,26.0,41.0,41.0,-14.0,-15.0
13,5,27.0,27.0,41.0,41.0,-14.0,-14.0
13,6,33.0,32.0,41.0,41.0,-8.0,-9.0
13,7,35.0,35.0,41.0,41.0,-6.0,-6.0
13,8,38.0,35.0,41.0,41.0,-3.0,-6.0
13,9,33.0,31.0,41.0,41.0,-8.0,-10.0
13,10,32.0,29.0,41.0,41.0,-9.0,-12.0
13,11,31.0,29.0,41.0,41.0,-10.0,-12.0
13,12,30.0,28.0,41.0,41.0,-11.0,-13.0
13,13,31.0,26.0,41.0,41.0,-10.0,-15.0
13,14,29.0,26.0,41.0,41.0,-12.0,-15.0
13,15,30.0,27.0,41.0,41.0,-11.0,-14.0
13,16,31.0,28.0,41.0,41.0,-10.0,-13.0
13,17,33.0,29.0,41.0,41.0,-8.0,-12.0
13,18,33.0,31.0,41.0,41.0,-8.0,-10.0
13,19,32.0,30.0,41.0,41.0,-9.0,-11.0
13,20,33.0,31.0,41.0,41.0,-8.0,-10.0
13,21,32.0,30.0,41.0,41.0,-9.0,-11.0
13,22,34.0,32.0,41.0,41.0,-7.0,-9.0
13,23,35.0,34.0,41.0,41.0,-6.0,-7.0
13,24,35.0,34.0,41.0,41.0,-6.0,-7.0
13,25,34.0,33.0,41.0,41.0,-7.0,-8.0
13,26,35.0,34.0,41.0,41.0,-6.0,-7.0
13,27,35.0,34.0,41.0,41.0,-6.0,-7.0
